branch,geometry,xc,pseudopotentials,contribution,i,j,k,raw_value_Ry_au,qe_definition
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,z,x,x,-429.707166613,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,z,x,y,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,z,x,z,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,z,y,x,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,z,y,y,-429.707166603,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,z,y,z,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,z,z,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,z,z,y,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,z,z,z,-254.30541291,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,x,x,x,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,x,x,y,63.200523733,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,x,x,z,36.042822132,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,x,y,x,63.200523733,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,x,y,y,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,x,y,z,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,x,z,x,36.042822132,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,x,z,y,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,x,z,z,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,y,x,x,63.200523733,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,y,x,y,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,y,x,z,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,y,y,x,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,y,y,y,-63.200523731,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,y,y,z,36.042822131,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,y,z,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,y,z,y,36.042822131,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,y,z,z,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,z,x,x,36.042822132,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,z,x,y,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,z,x,z,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,z,y,x,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,z,y,y,36.042822131,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,z,y,z,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,z,z,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,z,z,y,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,z,z,z,15.951620993,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,x,x,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,x,x,y,254.781986921,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,x,x,z,-390.682293746,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,x,y,x,254.781986921,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,x,y,y,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,x,y,z,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,x,z,x,-390.682293746,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,x,z,y,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,x,z,z,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,y,x,x,254.781986921,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,y,x,y,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,y,x,z,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,y,y,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,y,y,y,-254.781986983,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,y,y,z,-390.682293877,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,y,z,x,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,y,z,y,-390.682293877,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,y,z,z,-5.7e-08,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,z,x,x,-390.682293746,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,z,x,y,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,z,x,z,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,z,y,x,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,z,y,y,-390.682293877,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,z,y,z,-5.7e-08,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,z,z,x,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,z,z,y,-5.7e-08,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,z,z,z,-357.489071742,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,x,x,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,x,x,y,197.005674181,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,x,x,z,-409.936603335,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,x,y,x,197.005674181,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,x,y,y,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,x,y,z,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,x,z,x,-409.936603335,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,x,z,y,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,x,z,z,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,y,x,x,197.005674181,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,y,x,y,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,y,x,z,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,y,y,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,y,y,y,-197.005674229,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,y,y,z,-409.936603463,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,y,z,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,y,z,y,-409.936603463,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,y,z,z,-6e-08,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,z,x,x,-409.936603335,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,z,x,y,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,z,x,z,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,z,y,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,z,y,y,-409.936603463,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,z,y,z,-6e-08,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,z,z,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,z,z,y,-6e-08,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,z,z,z,-374.550058652,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,x,x,x,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,x,x,y,57.77631274,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,x,x,z,19.254309589,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,x,y,x,57.77631274,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,x,y,y,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,x,y,z,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,x,z,x,19.254309589,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,x,z,y,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,x,z,z,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
